Cycle number,Coulombic Efficiency (%)
1,81.49058736847648
2,83.26392752302266
3,82.93132822708536
4,82.43599331941988
5,82.19661238856737
6,82.09900181800337
7,81.97794643739691
8,81.84496004914263
9,81.62482683012577
10,81.35448486153513
11,81.05027542563917
12,80.63123929389339
13,80.18697426275966
14,79.7172591298495
15,79.21005256352585
16,78.70847800802107
17,78.21526261152528
18,77.71281810443304
19,77.21911410631066
20,76.71978076246343
21,76.22916426885095
22,75.79502258199715
23,75.37800476686932
24,74.95691388735796
25,74.60082960113021
26,74.30758298172306
27,74.0183686564448
28,73.82308888582234
29,73.64758988344691
30,73.46630713699595
31,73.36381403631582
32,73.24150411820777
33,73.13038765480928
34,73.0296440632756
35,72.92585510958816
36,72.82264050812323
37,72.75308554929109
38,72.60759861299731
39,72.46316140904104
40,72.37657637029727
41,72.30488414438226
42,72.08897879750536
43,71.96867156091429
44,71.85918974329901
45,71.61463028320229
46,71.5084812297663
47,71.27062440524126
48,71.15437052960104
49,70.9076511066253
50,70.75595199731895
51,70.49988967639636
52,70.28061938104918
53,69.91044950340898
54,69.5808830740201
55,69.18779465038237
56,68.6234499242711
57,67.96188181396849
58,67.4236455772963
59,66.7094471523207
60,65.79943327759639
61,65.23783114204782
62,64.39741673420785
63,63.67083287461443
64,63.395129069584776
65,63.038461621179074
66,62.644933661334626
67,62.46858649222886
68,62.07849694839571
69,61.85990859279718
70,61.66259001259983
71,61.288784775278636
72,61.00701815969853
73,60.56826208922568
74,60.37014826030119
75,59.93235800301279
76,59.59109971355843
77,59.27659675711625
78,59.095198222141384
79,58.77836428510855
80,58.386192757005496
81,58.555634964750816
82,58.542553616535585
83,58.04519661594514
84,58.20975041793366
85,58.227125074378364
86,57.70618714258479
87,57.75591163007546
88,57.62109347997131
89,58.08836944018263
90,57.740365135156544
91,58.35837732687064
92,58.4079983229843
93,58.61616146144453
94,59.062644593839195
95,59.749879245032275
96,59.918125939951175
97,60.50669308051532
98,60.557482032495535
99,60.27436308144352
100,60.589547478586915
101,60.60063265080162
102,60.930593920467345
103,60.70816044260052
104,61.03309492280551
105,60.79356999117209
106,60.93108040462019
107,60.96588095507649
108,62.13213353611044
109,62.224525177537956
110,61.70368884255944
111,61.3128771991274
112,61.89044069550933
113,61.62350100836371
114,61.72210662055565
115,61.717218493076345
116,62.22727989724399
117,61.615729436755316
118,62.71470445680515
119,62.78873361660408
120,62.47613427562938
121,63.29378385756582
122,63.12794109505523
123,62.93413317721438
124,62.32788338101288
125,63.1302778016566
126,63.71642345555782
127,63.2555787534233
128,62.550860746461844
129,63.225210220228355
130,63.72722836836074
131,64.25793215712716
132,64.65552777673732
133,63.43318999869232
134,64.02255057967783
135,64.40629905126262
136,64.42342730930221
137,65.4200779398726
138,64.22705364368872
139,64.64407950873009
140,64.14667200244311
141,64.89694273283787
142,63.89909993649726
143,64.99325760052247
144,64.55075054201268
145,65.07267252638366
146,65.1920095061244
147,64.39311934214001
148,66.73450048933528
149,67.70190513777266
150,65.83050600290294
151,65.58142006066107
152,66.52220433715547
153,67.64806467394533
154,67.9477738144647
155,67.19565954560846
156,67.46789812564712
157,66.18815226368415
158,67.09717826324614
159,68.3379812127805
160,68.68072278083113
161,67.62899165231191
162,67.34811237449472
163,66.8863640771178
164,67.39425669691273
165,66.72699303230483
166,67.11538796077684
167,68.3801764222792
168,68.31702065477351
169,69.27751641733153
170,68.05763122765599
171,69.8959557183517
172,70.71860776269723
173,68.68118463543541
174,69.26387463552214
175,68.08219585452055
176,68.58338588545513
177,69.69532490142835
178,69.52565524245803
179,68.89367365567858
180,69.30056122124044
181,69.88401498706985
182,68.89254235078455
183,70.09290212954554
184,73.19791479417634
185,69.7308086932169
186,70.05443678861201
187,69.77582590455985
188,69.99988249072831
189,70.36283351152494
190,70.27679147837313
191,70.86715166269573
192,70.68549976147719
193,70.69558865134506
194,71.17191023300832
195,71.6526491204386
196,72.06175979266763
197,72.1587792794981
198,72.37765716870132
199,73.0749757105539
200,72.36657190119098
